Address,Type,Datetime,Latitude,Longitude,Report Location,Incident Number
2600 Sw Barton St,Car Fire,06/22/2012 07:45:00 PM +0000,47.521022,-122.365894,"(47.521022, -122.365894)",F120056780
6th Av / Madison St,Car Fire,06/24/2012 09:12:00 PM +0000,47.607017,-122.330689,"(47.607017, -122.330689)",F120057533
Fremont Av N / N 39th St,Car Fire,06/24/2012 09:17:00 PM +0000,47.65414,-122.349905,"(47.65414, -122.349905)",F120057535
4th Av S / Prefontaine Pl S,Car Fire,06/25/2012 03:15:00 PM +0000,47.600875,-122.328963,"(47.600875, -122.328963)",F120057780
Boylston Av E / Lakeview Blvd E,Car Fire,06/27/2012 05:51:00 AM +0000,47.636808,-122.323468,"(47.636808, -122.323468)",F120058369
N 42nd St / Evanston Av N,Car Fire,06/27/2012 12:09:00 AM +0000,47.657738,-122.351065,"(47.657738, -122.351065)",F120058272
8th Av Ne / Weedin Pl Ne,Car Fire,06/27/2012 02:40:00 AM +0000,47.676642,-122.320082,"(47.676642, -122.320082)",F120058319
5th Av Ne / Ne 50th St,Car Fire,06/26/2012 10:53:00 PM +0000,47.664975,-122.322863,"(47.664975, -122.322863)",F120058240
28th Av Ne / Ne 125th St,Car Fire,06/27/2012 05:31:00 PM +0000,47.719292,-122.297803,"(47.719292, -122.297803)",F120058487
Sb I5 At 65,Car Fire Freeway,06/27/2012 03:01:00 AM +0000,47.670539,-122.322214,"(47.670539, -122.322214)",F120058337
Sb I5 To Mercer,Car Fire Freeway,06/27/2012 10:51:00 PM +0000,47.630153,-122.326822,"(47.630153, -122.326822)",F120058584
Nb I5 Fr Swift,Car Fire Freeway,06/27/2012 11:01:00 PM +0000,47.546981,-122.307937,"(47.546981, -122.307937)",F120058587
2464 S Columbian Way,Car Fire,06/29/2012 07:51:00 AM +0000,47.560462,-122.301118,"(47.560462, -122.301118)",F120059061
Blanchard St / Western Av,Car Fire,06/29/2012 08:32:00 PM +0000,47.611942,-122.346072,"(47.611942, -122.346072)",F120059240
10301 Aurora Av N,Car Fire,07/02/2012 07:59:00 PM +0000,47.703603,-122.344677,"(47.703603, -122.344677)",F120060190
M L King Jr Way S / S Mcclellan St,Car Fire,07/04/2012 05:56:00 AM +0000,47.578347,-122.296188,"(47.578347, -122.296188)",F120060722
7701 - 7729 Sb Sr99 At Holden,Car Fire Freeway,07/04/2012 06:36:00 PM +0000,47.534148,-122.332133,"(47.534148, -122.332133)",F120060853
4333 S Holden St,Car Fire,07/05/2012 05:36:00 AM +0000,47.53338,-122.278459,"(47.53338, -122.278459)",F120061089
Western Av / Virginia St,Car Fire,07/05/2012 09:11:00 PM +0000,47.610321,-122.343637,"(47.610321, -122.343637)",F120061324
Rainier Av S / S Ferdinand St,Car Fire,07/06/2012 12:15:00 AM +0000,47.557849,-122.285042,"(47.557849, -122.285042)",F120061372
4726 26th Av S,Car Fire,07/06/2012 12:58:00 AM +0000,47.560199,-122.299276,"(47.560199, -122.299276)",F120061397
24th Av E / E Interlaken Blvd,Car Fire,07/06/2012 03:22:00 PM +0000,47.634573,-122.301576,"(47.634573, -122.301576)",F120061565
24th Av / E Fir St,Car Fire,07/07/2012 12:33:00 AM +0000,47.602667,-122.30109,"(47.602667, -122.30109)",F120061724
N 92nd St / Wallingford Av N,Car Fire W/Exp.,07/10/2012 06:09:00 PM +0000,47.695959,-122.3365,"(47.695959, -122.3365)",F120063029
5900 West Marginal Way Sw,Car Fire,07/16/2012 02:14:00 AM +0000,47.549185,-122.345547,"(47.549185, -122.345547)",F120065161
Seneca St / Summit Av,Car Fire,07/13/2012 06:10:00 PM +0000,47.611694,-122.324223,"(47.611694, -122.324223)",F120064294
Wb I90 Exp At Mercer,Car Fire Freeway,07/14/2012 03:01:00 AM +0000,47.591424,-122.247857,"(47.591424, -122.247857)",M120064482
11260 37th Av Sw,Car Fire,07/15/2012 03:55:00 AM +0000,47.502197,-122.379539,"(47.502197, -122.379539)",F120064849
Sb I5 At Mid Boeing Field,Car Fire Freeway,07/15/2012 09:31:00 PM +0000,47.545461,-122.308073,"(47.545461, -122.308073)",F120065081
Wb Sr520 At Montlake,Car Fire,07/17/2012 03:12:00 PM +0000,47.645205,-122.294231,"(47.645205, -122.294231)",F120065607
