Address,Type,Datetime,Latitude,Longitude,Report Location,Incident Number
19th Av E / E Aloha St,Car Fire,11/08/2011 03:58:00 AM +0000,47.626852,-122.307297,"(47.626852, -122.307297)",F110103632
23rd Av E / E Newton St,Car Fire,11/07/2011 06:32:00 AM +0000,47.637701,-122.302802,"(47.637701, -122.302802)",F110103371
Sb I5 To Wb Wsea Frwy,Car Fire Freeway,11/06/2011 04:22:00 AM +0000,47.574458,-122.320215,"(47.574458, -122.320215)",F110103047
Nb I5 To Northgate,Car Fire,11/06/2011 04:18:00 AM +0000,47.703742,-122.329381,"(47.703742, -122.329381)",F110103043
1st Av Ne / Ne 107th St,Car Fire,11/06/2011 04:18:00 AM +0000,47.706812,-122.328592,"(47.706812, -122.328592)",F110103044
43rd Av S / S Othello St,Car Fire,11/06/2011 03:58:00 AM +0000,47.537053,-122.279385,"(47.537053, -122.279385)",F110103038
3304 S Holly St,Car Fire,11/05/2011 11:29:00 AM +0000,47.542495,-122.290232,"(47.542495, -122.290232)",F110102785
11th Av Ne / Ne 45th St,Car Fire,11/04/2011 02:21:00 PM +0000,47.661292,-122.316579,"(47.661292, -122.316579)",F110102440
23rd Av S / S Judkins St,Car Fire,11/04/2011 04:35:00 AM +0000,47.591893,-122.3025,"(47.591893, -122.3025)",F110102371
35th Av Ne / Ne 70th St,Car Fire,11/04/2011 02:31:00 AM +0000,47.679416,-122.290376,"(47.679416, -122.290376)",F110102339
Nb I5 To 130,Car Fire Freeway,11/02/2011 07:00:00 PM +0000,47.719838,-122.324131,"(47.719838, -122.324131)",F110101902
4th Av S / S Holgate St,Car Fire,11/02/2011 07:56:00 AM +0000,47.58617,-122.329062,"(47.58617, -122.329062)",F110101712
Myers Way S / Olson Pl Sw,Car Fire,11/02/2011 02:17:00 AM +0000,47.522322,-122.334841,"(47.522322, -122.334841)",F110101652
4700 42nd Av Sw,Car Fire,11/01/2011 09:53:00 PM +0000,47.561101,-122.385457,"(47.561101, -122.385457)",F110101592
Wb I90 At Tunnel,Car Fire Freeway,10/31/2011 08:46:00 PM +0000,47.590516,-122.302426,"(47.590516, -122.302426)",F110101228
Rainier Av S / S Weller St,Car Fire,10/31/2011 05:05:00 AM +0000,47.597492,-122.31276,"(47.597492, -122.31276)",F110101061
Westlake Av / Denny Way,Car Fire,10/31/2011 02:16:00 AM +0000,47.618534,-122.338485,"(47.618534, -122.338485)",F110101033
Rainier Av S / S Frontenac St,Car Fire,10/29/2011 07:56:00 AM +0000,47.539804,-122.270942,"(47.539804, -122.270942)",F110100372
902 1st Av S,Car Fire,10/29/2011 02:28:00 AM +0000,47.594838,-122.334193,"(47.594838, -122.334193)",F110100280
Eb Wsea Frwy At Delridge,Car Fire,10/28/2011 10:41:00 PM +0000,47.571208,-122.358479,"(47.571208, -122.358479)",F110100226
1200 Westlake Av N,Car Fire,10/27/2011 09:19:00 PM +0000,47.629688,-122.340949,"(47.629688, -122.340949)",F110099872
9450 6th Av Sw,Car Fire,10/25/2011 07:26:00 PM +0000,47.518655,-122.342883,"(47.518655, -122.342883)",F110099236
Elliott Av / Broad St,Car Fire,10/25/2011 04:56:00 AM +0000,47.615588,-122.354224,"(47.615588, -122.354224)",F110099070
5252 California Av Sw,Car Fire,10/25/2011 02:41:00 AM +0000,47.555226,-122.386949,"(47.555226, -122.386949)",F110099041
E Howe St / Boyer Av E,Car Fire,10/24/2011 05:46:00 PM +0000,47.635882,-122.302925,"(47.635882, -122.302925)",F110098895
24th Av E / E John St,Car Fire,10/21/2011 03:13:00 PM +0000,47.620166,-122.301118,"(47.620166, -122.301118)",F110097889
8837 4th Av S,Car Fire,10/21/2011 12:21:00 PM +0000,47.524302,-122.329716,,F110097732
8TH AV / LENORA ST,Car Fire,10/20/2011 05:50:00 PM +0000,47.61649,-122.337894,,F110097621
14013 3rd Av Nw,Car Fire,10/19/2011 09:16:00 PM +0000,47.730589,-122.360937,"(47.730589, -122.360937)",F110097339
Wb Wsea Frwy At Highrise,Car Fire Freeway,10/17/2011 04:30:00 AM +0000,47.571406,-122.343497,,F110096568
8600 Beacon Av S,Car Fire,10/16/2011 09:02:00 AM +0000,47.526121,-122.287674,,F110096320
5th Av / Vine St,Car Fire,10/15/2011 05:50:00 PM +0000,47.617908,-122.346246,,F110096107
20th Av Sw / Sw Cambridge St,Car Fire,10/13/2011 06:36:00 AM +0000,47.519195,-122.359182,,F110095337
Lake City Way Ne / Ne 117th St,Car Fire,10/12/2011 08:40:00 PM +0000,47.714212,-122.29823,,F110095177
Sb I5 At 117,Car Fire Freeway,10/11/2011 03:51:00 PM +0000,47.713612,-122.327503,,F110094664
Wb I90 At Rainier,Car Fire Freeway,10/08/2011 09:31:00 PM +0000,47.590802,-122.309163,,F110093833
Sb I5 At Michigan,Car Fire Freeway,10/08/2011 03:29:00 PM +0000,47.559045,-122.321742,,F110093732
15th Av E / E Prospect St,Car Fire,10/07/2011 10:48:00 AM +0000,47.628403,-122.312548,,F110093352
Sw Director St / California Av Sw,Car Fire,10/06/2011 08:57:00 PM +0000,47.522468,-122.387467,,F110093180
Boren Av / Seneca St,Car Fire,10/05/2011 01:40:00 AM +0000,47.610765,-122.326444,,F110092673
M L King Jr Way S / S Ryan Way,Car Fire,10/04/2011 04:53:00 PM +0000,47.507991,-122.278367,,V110092489
9th Av / Lenora St,Car Fire,10/03/2011 07:16:00 PM +0000,47.617154,-122.337036,,F110092241
9th Av / Lenora St,Car Fire,10/03/2011 07:16:00 PM +0000,47.617154,-122.337036,,F110092241
9th Av / Lenora St,Car Fire,10/03/2011 07:16:00 PM +0000,47.617154,-122.337036,,F110092241
9th Av / Lenora St,Car Fire,10/03/2011 07:16:00 PM +0000,47.617154,-122.337036,,F110092241
9th Av / Lenora St,Car Fire,10/03/2011 07:16:00 PM +0000,47.617154,-122.337036,,F110092241
9th Av / Lenora St,Car Fire,10/03/2011 07:16:00 PM +0000,47.617154,-122.337036,,F110092241
9th Av / Lenora St,Car Fire,10/03/2011 07:16:00 PM +0000,47.617154,-122.337036,,F110092241
9th Av / Lenora St,Car Fire,10/03/2011 07:16:00 PM +0000,47.617154,-122.337036,,F110092241
0 Nb Sr509 At 1 Av Bridge S,Car Fire Freeway,10/03/2011 02:40:00 AM +0000,47.542241,-122.33422,,F110092056
0 Nb Sr509 At 1 Av Bridge S,Car Fire Freeway,10/03/2011 02:40:00 AM +0000,47.542241,-122.33422,,F110092056
0 Nb Sr509 At 1 Av Bridge S,Car Fire Freeway,10/03/2011 02:40:00 AM +0000,47.542241,-122.33422,,F110092056
0 Nb Sr509 At 1 Av Bridge S,Car Fire Freeway,10/03/2011 02:40:00 AM +0000,47.542241,-122.33422,,F110092056
0 Nb Sr509 At 1 Av Bridge S,Car Fire Freeway,10/03/2011 02:40:00 AM +0000,47.542241,-122.33422,,F110092056
0 Nb Sr509 At 1 Av Bridge S,Car Fire Freeway,10/03/2011 02:40:00 AM +0000,47.542241,-122.33422,,F110092056
0 Nb Sr509 At 1 Av Bridge S,Car Fire Freeway,10/03/2011 02:40:00 AM +0000,47.542241,-122.33422,,F110092056
0 Nb Sr509 At 1 Av Bridge S,Car Fire Freeway,10/03/2011 02:40:00 AM +0000,47.542241,-122.33422,,F110092056
0 Nb Sr509 At 1 Av Bridge S,Car Fire Freeway,10/03/2011 02:40:00 AM +0000,47.542241,-122.33422,,F110092056
Federal Av E / E Republican St,Car Fire,10/02/2011 03:54:00 AM +0000,47.623122,-122.318856,,F110091744
Federal Av E / E Republican St,Car Fire,10/02/2011 03:54:00 AM +0000,47.623122,-122.318856,,F110091744
Federal Av E / E Republican St,Car Fire,10/02/2011 03:54:00 AM +0000,47.623122,-122.318856,,F110091744
Federal Av E / E Republican St,Car Fire,10/02/2011 03:54:00 AM +0000,47.623122,-122.318856,,F110091744
Federal Av E / E Republican St,Car Fire,10/02/2011 03:54:00 AM +0000,47.623122,-122.318856,,F110091744
Federal Av E / E Republican St,Car Fire,10/02/2011 03:54:00 AM +0000,47.623122,-122.318856,,F110091744
Federal Av E / E Republican St,Car Fire,10/02/2011 03:54:00 AM +0000,47.623122,-122.318856,,F110091744
Federal Av E / E Republican St,Car Fire,10/02/2011 03:54:00 AM +0000,47.623122,-122.318856,,F110091744
Sb I5 To Northgate Eb,Car Fire,10/02/2011 02:39:00 AM +0000,47.710776,-122.329967,,F110091720
Sb I5 To Northgate Eb,Car Fire,10/02/2011 02:39:00 AM +0000,47.710776,-122.329967,,F110091720
Sb I5 To Northgate Eb,Car Fire,10/02/2011 02:39:00 AM +0000,47.710776,-122.329967,,F110091720
Sb I5 To Northgate Eb,Car Fire,10/02/2011 02:39:00 AM +0000,47.710776,-122.329967,,F110091720
Sb I5 To Northgate Eb,Car Fire,10/02/2011 02:39:00 AM +0000,47.710776,-122.329967,,F110091720
Sb I5 To Northgate Eb,Car Fire,10/02/2011 02:39:00 AM +0000,47.710776,-122.329967,,F110091720
Sb I5 To Northgate Eb,Car Fire,10/02/2011 02:39:00 AM +0000,47.710776,-122.329967,,F110091720
Sb I5 To Northgate Eb,Car Fire,10/02/2011 02:39:00 AM +0000,47.710776,-122.329967,,F110091720
Sb I5 To Northgate Eb,Car Fire,10/02/2011 02:39:00 AM +0000,47.710776,-122.329967,,F110091720
9822 Waters Av S,Car Fire,10/01/2011 12:09:00 PM +0000,47.513537,-122.254025,,F110091343
9822 Waters Av S,Car Fire,10/01/2011 12:09:00 PM +0000,47.513537,-122.254025,,F110091343
9822 Waters Av S,Car Fire,10/01/2011 12:09:00 PM +0000,47.513537,-122.254025,,F110091343
9822 Waters Av S,Car Fire,10/01/2011 12:09:00 PM +0000,47.513537,-122.254025,,F110091343
9822 Waters Av S,Car Fire,10/01/2011 12:09:00 PM +0000,47.513537,-122.254025,,F110091343
9822 Waters Av S,Car Fire,10/01/2011 12:09:00 PM +0000,47.513537,-122.254025,,F110091343
9822 Waters Av S,Car Fire,10/01/2011 12:09:00 PM +0000,47.513537,-122.254025,,F110091343
9822 Waters Av S,Car Fire,10/01/2011 12:09:00 PM +0000,47.513537,-122.254025,,F110091343
Eb Sr520 At Mid Span,Car Fire Freeway,09/30/2011 02:54:00 AM +0000,47.640356,-122.259147,,F110091091
Eb Sr520 At Mid Span,Car Fire Freeway,09/30/2011 02:54:00 AM +0000,47.640356,-122.259147,,F110091091
Eb Sr520 At Mid Span,Car Fire Freeway,09/30/2011 02:54:00 AM +0000,47.640356,-122.259147,,F110091091
Eb Sr520 At Mid Span,Car Fire Freeway,09/30/2011 02:54:00 AM +0000,47.640356,-122.259147,,F110091091
Eb Sr520 At Mid Span,Car Fire Freeway,09/30/2011 02:54:00 AM +0000,47.640356,-122.259147,,F110091091
Eb Sr520 At Mid Span,Car Fire Freeway,09/30/2011 02:54:00 AM +0000,47.640356,-122.259147,,F110091091
Eb Sr520 At Mid Span,Car Fire Freeway,09/30/2011 02:54:00 AM +0000,47.640356,-122.259147,,F110091091
Eb Sr520 At Mid Span,Car Fire Freeway,09/30/2011 02:54:00 AM +0000,47.640356,-122.259147,,F110091091
Eb Sr520 At Mid Span,Car Fire Freeway,09/30/2011 02:54:00 AM +0000,47.640356,-122.259147,,F110091091
Battery St / Western Av,Car Fire,09/29/2011 01:05:00 AM +0000,47.61348,-122.348673,,F110090689
Battery St / Western Av,Car Fire,09/29/2011 01:05:00 AM +0000,47.61348,-122.348673,,F110090689
Battery St / Western Av,Car Fire,09/29/2011 01:05:00 AM +0000,47.61348,-122.348673,,F110090689
Battery St / Western Av,Car Fire,09/29/2011 01:05:00 AM +0000,47.61348,-122.348673,,F110090689
Battery St / Western Av,Car Fire,09/29/2011 01:05:00 AM +0000,47.61348,-122.348673,,F110090689
Battery St / Western Av,Car Fire,09/29/2011 01:05:00 AM +0000,47.61348,-122.348673,,F110090689
Battery St / Western Av,Car Fire,09/29/2011 01:05:00 AM +0000,47.61348,-122.348673,,F110090689
Battery St / Western Av,Car Fire,09/29/2011 01:05:00 AM +0000,47.61348,-122.348673,,F110090689
24th Av E / E Mcgraw St,Car Fire,09/28/2011 10:24:00 PM +0000,47.640259,-122.302072,,F110090632
24th Av E / E Mcgraw St,Car Fire,09/28/2011 10:24:00 PM +0000,47.640259,-122.302072,,F110090632
24th Av E / E Mcgraw St,Car Fire,09/28/2011 10:24:00 PM +0000,47.640259,-122.302072,,F110090632
24th Av E / E Mcgraw St,Car Fire,09/28/2011 10:24:00 PM +0000,47.640259,-122.302072,,F110090632
24th Av E / E Mcgraw St,Car Fire,09/28/2011 10:24:00 PM +0000,47.640259,-122.302072,,F110090632
24th Av E / E Mcgraw St,Car Fire,09/28/2011 10:24:00 PM +0000,47.640259,-122.302072,,F110090632
24th Av E / E Mcgraw St,Car Fire,09/28/2011 10:24:00 PM +0000,47.640259,-122.302072,,F110090632
24th Av E / E Mcgraw St,Car Fire,09/28/2011 10:24:00 PM +0000,47.640259,-122.302072,,F110090632
Ne 45th St / 7th Av Ne,Car Fire,09/20/2011 06:39:00 PM +0000,47.661319,-122.320728,"(47.661319, -122.320728)",F110087533
Nw 57th St / 24th Av Nw,Car Fire,09/20/2011 06:30:00 AM +0000,47.670187,-122.387587,"(47.670187, -122.387587)",F110087376
6547 34th Av Sw,Car Fire,09/20/2011 03:20:00 AM +0000,47.544243,-122.375103,"(47.544243, -122.375103)",F110087328
0 Sb Sr509 At 1 Av Bridge S,Car Fire,09/19/2011 04:16:00 PM +0000,47.543296,-122.334318,"(47.543296, -122.334318)",F110087152
9th Av / Jefferson St,Car Fire,09/19/2011 03:49:00 PM +0000,47.604841,-122.324097,"(47.604841, -122.324097)",F110087139
Rainier Av S / S Massachusetts St,Car Fire,09/19/2011 04:27:00 AM +0000,47.588411,-122.305827,"(47.588411, -122.305827)",F110087058
Sb I5 At Roanoke,Car Fire Freeway,09/17/2011 05:30:00 AM +0000,47.643234,-122.323195,"(47.643234, -122.323195)",F110086477
Nw 57th St / 17th Av Nw,Car Fire,09/17/2011 03:46:00 AM +0000,47.670175,-122.378883,"(47.670175, -122.378883)",F110086448
Beacon Av S / S Myrtle St,Car Fire,09/16/2011 10:59:00 PM +0000,47.538958,-122.296081,"(47.538958, -122.296081)",F110086346
Nb I5 At 130,Car Fire Freeway,09/16/2011 10:50:00 PM +0000,47.719838,-122.324131,"(47.719838, -122.324131)",F110086343
Denny Way / Minor Av,Car Fire,09/16/2011 01:08:00 AM +0000,47.618515,-122.333388,"(47.618515, -122.333388)",F110086077
Wb Wsea Frwy At Delridge,Car Fire Freeway,09/16/2011 12:40:00 PM +0000,47.571142,-122.35688,"(47.571142, -122.35688)",F110086068
1531 W Nickerson St,Car Fire,09/15/2011 03:21:00 PM +0000,47.655113,-122.377581,"(47.655113, -122.377581)",F110085835
California Av Sw / Sw Admiral Way,Car Fire,09/15/2011 01:31:00 AM +0000,47.581195,-122.386546,"(47.581195, -122.386546)",F110085691
N 35th St / Fremont Av N,Car Fire,09/14/2011 05:33:00 PM +0000,47.650431,-122.349835,"(47.650431, -122.349835)",F110085550
N 35th St / Fremont Av N,Car Fire,09/14/2011 05:33:00 PM +0000,47.650431,-122.349835,"(47.650431, -122.349835)",F110085550
1900 Aurora Av N,Car Fire,09/14/2011 05:32:00 PM +0000,47.635909,-122.343435,"(47.635909, -122.343435)",F110085551
1900 Aurora Av N,Car Fire,09/14/2011 05:32:00 PM +0000,47.635909,-122.343435,"(47.635909, -122.343435)",F110085551
700 S Holgate St,Car Fire,09/14/2011 05:12:00 AM +0000,47.586138,-122.324726,"(47.586138, -122.324726)",F110085429
5270 Rainier Av S,Car Fire,09/12/2011 11:44:00 PM +0000,47.554937,-122.282393,"(47.554937, -122.282393)",F110085022
Sb I5 At Albro,Car Fire Freeway,09/12/2011 05:37:00 PM +0000,47.551689,-122.317047,"(47.551689, -122.317047)",F110084925
6th Av / Seneca St,Car Fire,09/11/2011 07:54:00 PM +0000,47.608444,-122.331995,"(47.608444, -122.331995)",F110084644
Sb I5 Cd Fr 6,Car Fire Freeway,09/11/2011 05:16:00 PM +0000,47.601969,-122.325589,"(47.601969, -122.325589)",F110084603
16th Av S / S Nevada St,Car Fire, 2011-09-11T24:26:00+0000,47.565324,-122.312691,"(47.565324, -122.312691)",F110084554
4300 14th Av S,Car Fire, 2011-09-11T24:25:00+0000,47.565319,-122.314737,"(47.565319, -122.314737)",F110084551
14th Av S / S Nevada St,Car Fire, 2011-09-11T24:24:00+0000,47.565319,-122.314737,"(47.565319, -122.314737)",F110084550
4147 14th Av S,Car Fire, 2011-09-11T24:15:00+0000,47.566782,-122.314699,"(47.566782, -122.314699)",F110084547
28th Av S / S Holly St,Car Fire,09/11/2011 08:05:00 AM +0000,47.542649,-122.296898,"(47.542649, -122.296898)",F110084494
7755 East Marginal Way S,Car Fire,09/10/2011 11:33:00 PM +0000,47.533081,-122.311224,"(47.533081, -122.311224)",F110084318
600 5th Av S,Car Fire,09/09/2011 08:33:00 PM +0000,47.597517,-122.327675,"(47.597517, -122.327675)",F110083859
Western Av / Spring St,Car Fire,09/09/2011 07:26:00 PM +0000,47.604943,-122.338001,"(47.604943, -122.338001)",F110083837
,Car Fire,09/09/2011 03:42:00 PM +0000, ,,"(0.0, 0.0)",F110083760
Broadway / James St,Car Fire,09/08/2011 04:14:00 AM +0000,47.607218,-122.320752,"(47.607218, -122.320752)",F110083249
500 17th Av,Car Fire,09/07/2011 08:00:00 AM +0000,47.606176,-122.310249,"(47.606176, -122.310249)",F110082974
35th Av Sw / Sw Avalon Way,Car Fire,09/06/2011 07:29:00 PM +0000,47.564077,-122.376189,"(47.564077, -122.376189)",F110082738
2027 S Washington St,Car Fire,09/04/2011 11:02:00 PM +0000,47.600834,-122.305994,"(47.600834, -122.305994)",F110082155
Nb I5 At Mercer,Car Fire Freeway,09/04/2011 06:46:00 PM +0000,47.620184,-122.328213,"(47.620184, -122.328213)",F110082042
Eb I90 Exp At West Highrise,Car Fire Freeway,09/04/2011 03:28:00 AM +0000,47.590188,-122.288632,"(47.590188, -122.288632)",F110081874
Beacon Av S / 14th Av S,Car Fire,09/03/2011 01:09:00 AM +0000,47.581871,-122.314712,"(47.581871, -122.314712)",F110081453
4TH AV / SPRING ST,Car Fire,09/02/2011 09:44:00 PM +0000,47.606801,-122.333562,"(47.606801, -122.333562)",F110081368
10030 Aurora Av N,Car Fire,09/02/2011 05:09:00 PM +0000,47.701644,-122.344654,"(47.701644, -122.344654)",F110081264
401 5th Av S,Car Fire, 2011-09-02T24:26:00+0000,47.599167,-122.327778,"(47.599167, -122.327778)",F110081214
2803 S Walker St,Car Fire,09/02/2011 06:28:00 AM +0000,47.583635,-122.29638,"(47.583635, -122.29638)",F110081140
1110 N 77th St,Car Fire,09/02/2011 01:31:00 AM +0000,47.684768,-122.344356,"(47.684768, -122.344356)",F110081075
Boyer Av E / E Edgar St,Car Fire,09/01/2011 05:10:00 PM +0000,47.644485,-122.317077,"(47.644485, -122.317077)",F110080939
814 N 38th St,Car Fire,08/31/2011 11:13:00 PM +0000,47.652737,-122.34842,"(47.652737, -122.34842)",F110080711
7th Av / Madison St,Car Fire,08/31/2011 10:41:00 PM +0000,47.60748,-122.329582,"(47.60748, -122.329582)",F110080698
30th Av Ne / Ne 130th St,Car Fire,08/31/2011 09:15:00 PM +0000,47.7229,-122.296359,"(47.7229, -122.296359)",F110080673
Sb I5 At 45,Car Fire Freeway,08/31/2011 03:34:00 AM +0000,47.65722,-122.322633,"(47.65722, -122.322633)",F110080481
0 Sb Sr509 At 1 Av Bridge S,Car Fire,08/31/2011 02:29:00 AM +0000,47.543296,-122.334318,"(47.543296, -122.334318)",F110080460
0 Sb Sr509 At 1 Av Bridge S,Car Fire,08/31/2011 02:29:00 AM +0000,47.543296,-122.334318,"(47.543296, -122.334318)",F110080460
Sw Barton St / 38th Av Sw,Car Fire,08/31/2011 01:15:00 AM +0000,47.521098,-122.380779,"(47.521098, -122.380779)",F110080435
3rd Av / Vine St,Car Fire,08/30/2011 11:30:00 PM +0000,47.616579,-122.347964,"(47.616579, -122.347964)",F110080405
15th Av Nw / Nw Market St,Car Fire,08/30/2011 05:37:00 PM +0000,47.668667,-122.376214,"(47.668667, -122.376214)",F110080293
S Dearborn St / Maynard Av S,Car Fire,08/30/2011 01:45:00 PM +0000,47.595835,-122.325068,"(47.595835, -122.325068)",F110080236
PIKE ST / ALASKAN WAY,Car Fire,08/28/2011 11:33:00 PM +0000,47.607842,-122.342651,"(47.607842, -122.342651)",F110079746
Nb I5 At Albro,Car Fire Freeway,08/26/2011 08:35:00 AM +0000,47.548716,-122.311984,"(47.548716, -122.311984)",F110078830
411 University St,Car Fire,08/25/2011 09:09:00 PM +0000,47.60828,-122.334742,"(47.60828, -122.334742)",F110078594
1112 4th Av,Car Fire,08/25/2011 09:07:00 PM +0000,47.606881,-122.333635,"(47.606881, -122.333635)",F110078589
SB I5 AT BOEING ACCESS RD,Car Fire Freeway,08/25/2011 07:35:00 PM +0000,47.507513,-122.281507,"(47.507513, -122.281507)",F110078546
S Othello St / Seward Park Av S,Car Fire,08/23/2011 11:09:00 PM +0000,47.536977,-122.267272,"(47.536977, -122.267272)",F110077907
Ne 92nd St / Roosevelt Way Ne,Car Fire,08/19/2011 01:34:00 AM +0000,47.695834,-122.31759,"(47.695834, -122.31759)",F110075975
Ne 50th St / 7th Av Ne,Car Fire,08/18/2011 11:38:00 AM +0000,47.664958,-122.320703,"(47.664958, -122.320703)",F110075761
15th Av S / S Hanford St,Car Fire,08/18/2011 12:40:00 PM +0000,47.575093,-122.31338,"(47.575093, -122.31338)",F110075595
34th Av Sw / Sw Roxbury St,Car Fire,08/17/2011 02:12:00 PM +0000,47.517472,-122.375513,"(47.517472, -122.375513)",F110075397
Sb I5 At South Boeing Field,Car Fire Freeway,08/16/2011 03:18:00 PM +0000,47.524288,-122.291643,"(47.524288, -122.291643)",F110075075
12069 Lakeside Pl Ne,Car Fire,08/14/2011 11:36:00 PM +0000,47.716773,-122.27926,"(47.716773, -122.27926)",F110074565
Nb I5 To Lakeview,Car Fire Freeway,08/14/2011 03:46:00 PM +0000,47.632258,-122.324055,"(47.632258, -122.324055)",F110074453
RAINIER AV S / S ALASKA ST,Car Fire, 2011-08-14T24:44:00+0000,47.560748,-122.287027,"(47.560748, -122.287027)",F110074424
1121 W BLAINE ST,Car Fire,08/14/2011 11:11:00 AM +0000,47.634741,-122.37191,"(47.634741, -122.37191)",F110074408
4515 36th Av Sw,Car Fire,08/13/2011 04:19:00 PM +0000,47.562744,-122.377451,"(47.562744, -122.377451)",F110074122
Airport Way S / S Horton St,Car Fire,08/13/2011 02:23:00 PM +0000,47.574225,-122.321403,"(47.574225, -122.321403)",F110074093
Nb I5 At Roanoke,Car Fire Freeway,08/12/2011 10:40:00 AM +0000,47.644694,-122.322443,"(47.644694, -122.322443)",F110073692
Nb I5 At 85,Car Fire Freeway,08/12/2011 01:33:00 AM +0000,47.685562,-122.324337,"(47.685562, -122.324337)",F110073560
1900 W Nickerson St,Car Fire,12/05/2010 05:46:00 PM +0000,47.655047,-122.38113,"(47.655047, -122.38113)",
E Thomas St / M L King Jr Way E,Car Fire,08/11/2011 03:17:00 AM +0000,47.621343,-122.296101,"(47.621343, -122.296101)",F110073199
James St / 8th Av,Car Fire,08/08/2011 04:29:00 AM +0000,47.60509,-122.32586,"(47.60509, -122.32586)",F110072192
8th Av / Cherry St,Car Fire,08/08/2011 04:24:00 AM +0000,47.605805,-122.326513,"(47.605805, -122.326513)",F110072188
Sb I5 To Michigan,Car Fire Freeway,08/07/2011 04:03:00 AM +0000,47.552263,-122.319291,"(47.552263, -122.319291)",F110071831
1001 TAYLOR AV N,Car Fire,08/06/2011 10:39:00 PM +0000,47.62803,-122.346238,"(47.62803, -122.346238)",F110071690
51st Av S / S Ryan Way,Car Fire,08/06/2011 06:32:00 PM +0000,47.509539,-122.270068,"(47.509539, -122.270068)",F110071623
1132 S Albro Pl,Car Fire,08/05/2011 10:13:00 PM +0000,47.545531,-122.317885,"(47.545531, -122.317885)",F110071312
1605 S Washington St,Car Fire,08/05/2011 05:32:00 PM +0000,47.600844,-122.311505,"(47.600844, -122.311505)",F110071218
Leary Av Nw / Nw Market St,Car Fire,08/05/2011 07:35:00 AM +0000,47.668678,-122.384746,"(47.668678, -122.384746)",F110071120
Nb I5 At Spokane,Car Fire Freeway,08/03/2011 06:56:00 PM +0000,47.566974,-122.32047,"(47.566974, -122.32047)",F110070539
3414 3rd Av W,Car Fire,08/03/2011 03:29:00 PM +0000,47.650833,-122.360877,"(47.650833, -122.360877)",F110070475
Ne 45th St / 8th Av Ne,Car Fire,08/02/2011 12:36:00 PM +0000,47.661311,-122.319567,"(47.661311, -122.319567)",F110070006
Sb I5 At Albro,Car Fire Freeway,08/01/2011 10:37:00 PM +0000,47.551689,-122.317047,"(47.551689, -122.317047)",F110069959
6th Av / Yesler Way,Car Fire,07/30/2011 10:43:00 PM +0000,47.60171,-122.326351,"(47.60171, -122.326351)",F110069347
12th Av Ne / Ne 92nd St,Car Fire,07/29/2011 06:24:00 PM +0000,47.695816,-122.314853,"(47.695816, -122.314853)",F110068895
2714 W Elmore St,Car Fire,07/28/2011 05:47:00 PM +0000,47.657701,-122.391351,"(47.657701, -122.391351)",F110068530
Ravenna Av Ne / Ne 95th St,Car Fire,07/27/2011 06:29:00 PM +0000,47.697564,-122.304891,"(47.697564, -122.304891)",F110068223
Nb I5 At 130,Car Fire Freeway,07/26/2011 08:07:00 PM +0000,47.719838,-122.324131,"(47.719838, -122.324131)",F110067904
Broadway E / E Roanoke St,Car Fire,07/25/2011 06:24:00 PM +0000,47.643193,-122.320853,"(47.643193, -122.320853)",F110067534
1757 Sturgus Av S,Car Fire,07/13/2011 03:03:00 PM +0000,47.586958,-122.31168,"(47.586958, -122.31168)",F110063297
Raye St / Aurora Av N,Car Fire,07/12/2011 10:35:00 PM +0000,47.642982,-122.347259,"(47.642982, -122.347259)",F110063112
Sb I5 At Spokane,Car Fire Freeway,07/12/2011 09:38:00 PM +0000,47.577176,-122.319669,"(47.577176, -122.319669)",F110063079
5333 S Ruggles St,Car Fire,07/11/2011 10:55:00 PM +0000,47.508788,-122.2679,"(47.508788, -122.2679)",F110062779
Eb Sr520 At Mid Span,Car Fire Freeway,07/11/2011 09:15:00 PM +0000,47.644945,-122.291116,"(47.644945, -122.291116)",F110062742
6TH AV / PIKE ST,Car Fire,07/11/2011 04:05:00 PM +0000,47.611142,-122.334464,"(47.611142, -122.334464)",F110062661
Nb I5 At Mid Boeing Field,Car Fire Freeway,07/09/2011 10:04:00 AM +0000,47.510856,-122.283642,"(47.510856, -122.283642)",F110061927
Nw 95th St / 3rd Av Nw,Car Fire,07/09/2011 06:33:00 AM +0000,47.697852,-122.360706,"(47.697852, -122.360706)",F110061885
6th Av / Pike St,Car Fire,07/08/2011 07:21:00 PM +0000,47.611142,-122.334464,"(47.611142, -122.334464)",F110061692
18th Av Sw / Sw Myrtle St,Car Fire,07/08/2011 03:02:00 PM +0000,47.539131,-122.357259,"(47.539131, -122.357259)",F110061617
1701 E Madison St,Car Fire,07/07/2011 11:07:00 PM +0000,47.615596,-122.310138,"(47.615596, -122.310138)",F110061432
N 87th St / Meridian Av N,Car Fire,07/07/2011 06:14:00 AM +0000,47.691805,-122.333761,"(47.691805, -122.333761)",F110061193
2800 E Cherry St,Car Fire,07/07/2011 01:00:00 AM +0000,47.607997,-122.296254,"(47.607997, -122.296254)",F110061096
3500 Sw Avalon Way,Car Fire,07/06/2011 09:30:00 PM +0000,47.564077,-122.376189,"(47.564077, -122.376189)",F110061028
19th Av S / S College St,Car Fire,07/06/2011 08:23:00 PM +0000,47.582964,-122.308173,"(47.582964, -122.308173)",F110061011
